Country,Rating
Brazil,2137
Argentina,2118
Netherlands,2047
Spain,2007
France,1993
Portugal,1993
Italy,1974
England,1969
Germany,1956
Belgium,1948
Croatia,1945
Switzerland,1928
Colombia,1919
Uruguay,1905
Denmark,1883
Morocco,1871
Peru,1851
Ecuador,1842
Japan,1841
United States,1840
Serbia,1835
Poland,1827
Hungary,1825
Ukraine,1822
Mexico,1813
South Korea,1801
Czech Republic,1779
Australia,1779
Iran,1779
Senegal,1773
Sweden,1758
Norway,1754
Russia,1753
Scotland,1752
Austria,1752
Tunisia,1747
Costa Rica,1737
Paraguay,1726
Wales,1717
Turkey,1712
Canada,1712
Algeria,1707
Chile,1697
Greece,1690
Finland,1689
Venezuela,1684
Cameroon,1679
Republic of Ireland,1676
Ivory Coast,1670
Slovenia,1667
Egypt,1662
Georgia,1652
Panama,1646
Saudi Arabia,1643
Nigeria,1631
Mali,1620
Israel,1620
Bolivia,1618
Bosnia and Herzegovina,1616
Romania,1610
Burkina Faso,1604
Ghana,1596
Jordan,1590
Slovakia,1580
Qatar,1578
Uzbekistan,1573
Iraq,1572
Jamaica,1556
Oman,1553
South Africa,1543
Iceland,1543
Albania,1543
Montenegro,1540
Northern Ireland,1540
Haiti,1536
North Macedonia,1534
New Zealand,1527
Bulgaria,1522
Kosovo,1507
Bahrain,1494
Gabon,1490
United Arab Emirates,1488
Cape Verde,1485
El Salvador,1484
Honduras,1472
China PR,1468
Zambia,1466
DR Congo,1458
Northern Cyprus,1457
Armenia,1452
Guatemala,1450
Luxembourg,1443
Equatorial Guinea,1434
Palestine,1430
Estonia,1430
Kurdistan,1425
Syria,1424
Gambia,1424
Azerbaijan,1423
Belarus,1415
Angola,1407
Uganda,1394
Benin,1392
Mauritania,1392
Kazakhstan,1391
Vietnam,1391
Thailand,1390
Martinique,1387
Guinea,1386
Guinea-Bissau,1383
North Korea,1375
Kenya,1375
Namibia,1369
Réunion,1369
Curaçao,1364
Botswana,1364
Cyprus,1355
Libya,1352
Latvia,1352
Ethiopia,1352
French Guiana,1349
Trinidad and Tobago,1340
Sierra Leone,1338
Zanzibar,1328
Cuba,1327
Tajikistan,1325
Mozambique,1322
Suriname,1322
Lebanon,1320
Togo,1320
Zimbabwe,1318
Kuwait,1315
Tanzania,1315
Liberia,1311
Faroe Islands,1308
Sudan,1305
Madagascar,1303
Congo,1302
Eswatini,1299
Malawi,1296
Rwanda,1280
Indonesia,1271
Central African Republic,1265
Kyrgyzstan,1264
Malta,1260
Nicaragua,1258
Burundi,1257
Turkmenistan,1249
Fiji,1249
Lithuania,1248
Comoros,1247
Niger,1244
Moldova,1233
Mayotte,1225
Papua New Guinea,1223
Lesotho,1223
India,1217
Guadeloupe,1215
Solomon Islands,1208
Malaysia,1207
Bermuda,1205
Chad,1189
Guyana,1184
Saint Kitts and Nevis,1177
Dominican Republic,1176
New Caledonia,1172
Antigua and Barbuda,1164
Tahiti,1158
Eritrea,1144
Hong Kong,1139
Grenada,1136
Vanuatu,1126
Singapore,1122
Andorra,1108
South Sudan,1104
Yemen,1098
Philippines,1095
Afghanistan,1095
Puerto Rico,1088
Belize,1077
Sao Tome and Principe,1071
Gibraltar,1069
St Vincent & Grenadines,1064
Saint Lucia,1049
Barbados,1007
Somaliland,1002
Western Sahara,996
Dominica,991
Liechtenstein,978
Bonaire,974
Montserrat,965
Greenland,963
Aruba,959
Mauritius,951
Maldives,936
Nepal,933
Myanmar,930
Monaco,903
Somalia,899
Seychelles,884
Taiwan,881
Pakistan,870
Djibouti,864
Bahamas,861
Cambodia,847
Bangladesh,844
Cayman Islands,840
Saint Martin,840
Mongolia,803
San Marino,784
Sint Maarten,780
Chagos Islands,776
Tuvalu,738
Turks and Caicos Islands,730
Saint Barthélemy,715
Guam,705
Wallis and Futuna,701
Macao,698
Vatican,692
Cook Islands,683
Samoa,678
Saint Pierre and Miquelon,677
Sri Lanka,675
United States Virgin Islands,662
Laos,653
Tibet,630
East Timor,623
Anguilla,621
British Virgin Islands,616
Brunei,615
Falkland Islands,580
FS Micronesia,564
Bhutan,563
Kiribati,545
Tonga,528
Niue,496
Eastern Samoa,472
Northern Mariana Islands,404
Palau,403
